Commit,Date,ReferenceObjectSize,JsonParserExample,JsonGeneratorExample,MsgPackParser,StringExample,ProgmemExample
v7.2.0,2024-09-17,48,9902,8016,9676,13216,9526
v7.1.0,2024-06-27,40,9458,8094,9390,12252,8774
v7.0.4,2024-03-12,40,9458,8120,9610,12244,8766
v7.0.3,2024-02-05,40,9458,8120,9610,12244,8766
v7.0.2,2024-01-19,40,9506,8078,9512,12486,8650
v7.0.1,2024-01-10,40,9508,8074,9514,12488,8652
v7.0.0,2024-01-03,40,9508,8074,9514,12488,8652
v6.21.4,2023-12-07,40,6758,5578,7080,10698,6476
v6.21.3,2023-07-23,40,6762,5574,7088,10694,6480
v6.21.2,2023-04-12,40,6762,5574,7088,10694,6480
v6.21.1,2023-03-27,40,6762,5574,7088,10694,6480
v6.21.0,2023-03-14,40,6762,5574,7088,10686,6480
v6.20.0,2022-12-26,40,6784,5588,7110,10728,6512
v6.19.4,2022-04-05,40,6740,5560,7142,10968,6312
v6.19.3,2022-03-08,40,6740,5560,7142,10968,6312
v6.19.2,2022-02-14,40,6740,5560,7142,10968,6312
v6.19.1,2022-01-14,40,6740,5560,7142,10968,6312
v6.19.0,2022-01-08,40,6710,5558,7132,10946,6324
v6.18.5,2021-09-28,40,6714,5456,7110,11102,6276
v6.18.4,2021-09-06,40,6714,5456,7110,11102,6276
v6.18.3,2021-07-27,40,6704,5456,7110,11112,6286
v6.18.2,2021-07-19,40,6704,5456,7110,10838,6294
v6.18.1,2021-07-03,40,6704,5456,7110,10838,6294
v6.18.0,2021-05-05,40,6710,5460,7114,10744,6270
v6.17.3,2021-02-15,40,6718,5558,6958,11032,6306
v6.17.2,2020-11-14,40,6718,5558,6958,11032,6306
v6.17.1,2020-11-07,40,6718,5558,6958,11032,6306
v6.17.0,2020-10-19,40,6718,5558,6958,11032,6306
v6.16.1,2020-08-04,40,6924,5738,7126,11264,6422
v6.16.0,2020-08-01,40,6930,5738,7126,11270,6428
v6.15.2,2020-05-15,40,6830,5738,7258,11042,6038
v6.15.1,2020-04-08,40,6830,5738,7258,11042,6038
v6.15.0,2020-03-22,40,6882,5738,7250,11060,6056
v6.14.1,2020-01-27,40,6968,5752,7176,11120,6010
v6.14.0,2020-01-16,40,6968,5752,7176,11120,6010
v6.13.0,2019-11-01,40,7050,5752,7176,10538,6092
v6.12.0,2019-09-05,40,7038,5756,7122,10174,6026
v6.11.5,2019-08-23,40,7038,5756,7122,10174,6026
v6.11.4,2019-08-12,40,7038,5756,7122,10174,6026
v6.11.3,2019-07-22,40,7038,5756,7122,10174,6026
v6.11.2,2019-07-08,40,7032,5756,7116,10158,6022
v6.11.1,2019-06-21,40,7032,5756,7116,10158,6022
v6.11.0,2019-05-26,40,7032,5756,7116,10158,5996
v6.10.1,2019-04-23,40,6978,5772,7138,10072,5964
v6.10.0,2019-03-22,40,6960,5772,7120,10054,5946
v6.9.1,2019-03-01,40,6866,5772,6988,10042,5782
v6.9.0,2019-02-26,40,6866,5772,6988,10042,5782
v6.8.0-beta,2019-01-30,40,6882,5772,6988,10062,5818
v6.7.0-beta,2018-12-07,40,6900,7290,7002,10168,5826
v6.6.0-beta,2018-11-13,55,8294,8856,8708,12756,8434
v6.5.0-beta,2018-10-13,55,7258,7862,7454,11108,6448
v6.4.0-beta,2018-09-11,60,6846,8002,7056,10716,6318
v6.3.0-beta,2018-08-31,50,6686,7460,6982,10398,5882
v6.2.3-beta,2018-07-19,54,7032,7630,7072,10194,6006
v6.2.2-beta,2018-07-18,54,7032,7630,7072,10194,6008
v6.2.1-beta,2018-07-17,54,7032,7630,7072,10194,6008
v6.2.0-beta,2018-07-12,54,7032,7630,7072,10194,6008
v6.1.0-beta,2018-07-02,54,6504,7360,7132,9148,4208
v6.0.1-beta,2018-06-11,54,6340,7132,6970,8938,4070
v6.0.0-beta,2018-06-07,54,6340,7132,6970,8938,4070
v5.13.5,2019-03-01,54,6000,7078,,8778,4030
v5.13.4,2018-12-04,54,6000,7074,,8778,4030
v5.13.3,2018-10-06,54,6000,7074,,8778,4030
v5.13.2,2018-06-01,54,6000,7074,,8778,4030
v5.13.1,2018-02-19,54,5968,7068,,8736,4022
v5.13.0,2018-01-19,54,5968,7068,,8736,4022
v5.12.0,2017-12-11,54,5968,7068,,8424,3936
v5.11.2,2017-10-17,54,5968,7068,,8424,3936
v5.11.1,2017-07-14,54,5968,6974,,8374,3928
v5.11.0,2017-06-25,54,6124,7446,,8762,3926
v5.10.1,2017-06-12,54,6124,7446,,8762,3926
v5.10.0,2017-05-20,54,6132,7500,,8842,3952
v5.9.0,2017-04-24,54,6132,6856,,8252,3952
v5.8.4,2017-03-26,54,6174,5778,,8492,3958
v5.8.3,2017-02-11,54,6918,5778,,9024,4670
v5.8.2,2017-01-22,54,6918,5778,,9060,4666
v5.8.1,2017-01-15,54,6924,5778,,9034,4628
v5.8.0,2017-01-03,54,6928,5778,,8996,4638
v5.7.3,2016-12-10,54,6852,5770,,8762,4384
v5.7.2,2016-11-23,54,6852,5770,,8566,4384
v5.7.1,2016-11-13,54,6852,5770,,8566,4384
v5.7.0,2016-11-06,54,6852,5770,,8566,
v5.6.7,2016-09-20,54,6852,5768,,,
v5.6.6,2016-08-29,54,6848,5774,,,
v5.6.5,2016-08-15,54,6848,5758,,,
v5.6.4,2016-07-20,54,6848,5758,,,
v5.6.3,2016-07-19,54,6848,5734,,,
v5.6.2,2016-06-30,54,6848,5738,,,
v5.6.1,2016-06-24,54,6848,5738,,,
v5.6.0,2016-06-22,54,6848,5738,,,
v5.5.1,2016-06-06,54,,,,,
v5.5.0,2016-05-22,54,,,,,
v5.4.0,2016-05-06,54,,,,,
v5.3.0,2016-04-30,54,,,,,
