Commit,Date,ReferenceObjectSize,JsonParserExample,JsonGeneratorExample,MsgPackParser,StringExample,ProgmemExample
v7.2.0,2024-09-17,64,45140,43048,44740,47732,44960
v7.1.0,2024-06-27,80,44324,42804,43964,46852,44152
v7.0.4,2024-03-12,80,44324,42780,44460,46884,44168
v7.0.3,2024-02-05,80,44324,42780,44460,46884,44168
v7.0.2,2024-01-19,80,44324,42716,44476,46820,44088
v7.0.1,2024-01-10,80,44316,42708,44468,46820,44080
v7.0.0,2024-01-03,80,44316,42708,44468,46820,44080
v6.21.5,2024-01-10,80,42912,41640,43272,45528,42764
v6.21.4,2023-12-07,80,42912,41640,43272,45528,42764
v6.21.3,2023-07-23,80,42920,41720,43280,45552,42796
v6.21.2,2023-04-12,80,42920,41720,43280,45552,42796
v6.21.1,2023-03-27,80,42920,41720,43280,45552,42796
v6.21.0,2023-03-14,80,42920,41720,43280,45544,42796
v6.20.1,2023-02-08,80,42928,41836,43288,45600,42800
v6.20.0,2022-12-26,80,42928,41836,43288,45600,42800
v6.19.4,2022-04-05,80,42860,41736,43292,45668,42748
v6.18.5,2021-09-28,80,42500,41072,42644,45072,41956
v6.17.3,2021-02-15,80,42524,41188,42524,44856,41920
v6.16.1,2020-08-04,80,43516,41212,43512,44872,42008
v6.15.2,2020-05-15,80,43548,41212,43480,44760,41840
v6.14.1,2020-01-27,80,43556,41228,43456,44724,41780
v6.13.0,2019-11-01,80,43628,41228,43456,44528,41860
v6.12.0,2019-09-05,80,43612,41236,43456,44504,41852
v6.11.5,2019-08-23,80,43612,41236,43456,44504,41852
v6.10.1,2019-04-23,80,43620,41248,43520,44336,41764
v6.9.1,2019-03-01,80,43576,41248,42936,44400,41848
v6.8.0-beta,2019-01-30,80,43624,41248,42936,44432,41896
v6.7.0-beta,2018-12-07,80,43664,41928,42984,44456,41904
v6.6.0-beta,2018-11-13,120,44464,42616,43944,45824,43320
v6.5.0-beta,2018-10-13,120,43644,41972,43172,44556,42068
v6.4.0-beta,2018-09-11,120,43436,42116,42924,44524,41948
v6.3.0-beta,2018-08-31,100,43308,41988,42588,44460,41700
v6.2.3-beta,2018-07-19,108,43436,42100,42764,44308,41788
v6.1.0-beta,2018-07-02,88,42484,41964,42760,43596,40796
v6.0.1-beta,2018-06-11,88,42540,41900,42752,43492,40764
