Commit,Date,ReferenceObjectSize,JsonParserExample,JsonGeneratorExample,MsgPackParser,StringExample,ProgmemExample
v6.19.0,2022-01-05,80,270345,268481,270777,268425,264509
v6.18.5,2021-09-28,80,269961,267885,270121,267577,263885
v6.18.4,2021-09-06,80,269961,267885,270121,267577,263885
v6.18.3,2021-07-27,80,269945,267885,270121,267577,263885
v6.18.2,2021-07-19,80,269945,267885,270121,267625,263901
v6.18.1,2021-07-03,80,269945,267885,270121,267625,263901
v6.18.0,2021-05-05,80,269961,267901,270137,267545,263933
v6.17.3,2021-02-15,80,270009,267937,270057,267577,263901
v6.17.2,2020-11-14,80,270009,267937,270057,267577,263901
v6.17.1,2020-11-07,80,270009,267937,270057,267577,263901
v6.17.0,2020-10-19,80,270009,267937,270057,267577,263901
v6.16.1,2020-08-04,80,271097,267937,271065,267625,263949
v6.16.0,2020-08-01,80,271113,267937,271065,267625,263949
v6.15.2,2020-05-15,80,271001,267937,271225,267385,263645
v6.15.1,2020-04-08,80,271001,267937,271225,267385,263645
v6.15.0,2020-03-22,80,270985,267937,271225,267337,263597
v6.14.1,2020-01-27,80,271209,267965,271209,267545,263725
v6.14.0,2020-01-16,80,271209,267965,271209,267545,263725
v6.13.0,2019-11-01,80,271337,267965,271209,267353,263853
v6.12.0,2019-09-05,80,271257,267981,271209,267257,264013
v6.11.5,2019-08-23,80,271257,267981,271209,267257,264013
v6.11.4,2019-08-12,80,271257,267981,271209,267257,264013
v6.11.3,2019-07-22,80,271257,267981,271209,267257,264013
v6.11.2,2019-07-08,80,271177,267917,271129,267113,263917
v6.11.1,2019-06-21,80,271177,267917,271129,267113,263917
v6.11.0,2019-05-26,80,271177,267917,271129,267113,263917
v6.10.1,2019-04-23,80,271241,267933,271225,266969,263757
v6.10.0,2019-03-22,,,,,,
v6.9.1,2019-03-01,80,271161,267933,270553,266985,263837
v6.9.0,2019-02-26,80,271161,267933,270553,266985,263837
v6.8.0-beta,2019-01-30,80,271209,267933,270553,267001,263869
v6.7.0-beta,2018-12-07,80,271241,269117,270585,267017,263869
v6.6.0-beta,2018-11-13,120,272265,269965,271721,268873,265629
v6.5.0-beta,2018-10-13,120,271337,269213,270617,267449,264173
v6.4.0-beta,2018-09-11,120,271081,269405,270217,267241,263997
v6.3.0-beta,2018-08-31,100,271001,269181,270121,266905,263789
v6.2.3-beta,2018-07-19,108,271177,269277,270265,266937,263821
v6.2.2-beta,2018-07-18,108,271177,269277,270265,266937,263805
v6.2.1-beta,2018-07-17,108,271177,269277,270265,266937,263805
v6.2.0-beta,2018-07-12,108,271177,269277,270265,266937,263805
v6.1.0-beta,2018-07-02,88,269973,269101,270233,265929,262601
v6.0.1-beta,2018-06-11,88,269989,269133,270265,265849,262601
